22	4.5	0.25	17.5	20	37.5	1.5	25	0.75	13.75	25	1
13	1.5	3.25	40	40	36	2.25	20	0.25	19.5	0	8
24	1.25	3.25	35	6.25	12.5	0.5	25	0.5	25	30	6.75
12	0.25	3.5	35	15	17.5	1.5	40	2.75	25	30	3.75
25	0.5	8.5	25	22	30	31.25	30	1.75	16	30	2.75
30	0.5	35	13.5	27	30	3	16	0.5	37.5	30	0.75
30	25	1.25	12.5	35	25	0.75	6.25	1.75	20	30	0.5
30	0.5	1	20	17.5	20	0.5	18.75	1	12.5	25	0.75
3.8	2	2.2	1.4	3.6	0.4	1.2	0.6	0.4	2.2	3.4	0.8
0.52	2	2.6	2.4	3.2	2.2	0.52	0.52	0.4	2.4	3.6	4.8
3.8	1	4	3.6	2.6	1	1	0.6	1.6	2.8	8.4	6.2
11	3	3	3.6	0.2	4.2	4	2	2.6	1.2	2.8	1.6
9.8	1.6	2.2	5.4	4.4	0.8	4.6	3.2	1.2	2.4	6.6	3
3.4	3	1	2	1.4	2.6	2	0.6	1.8	2.4	4.4	2
12	1.6	2.4	1.6	3.2	1.2	0.8	3.8	3.4	4.4	7	2.2
4.4	2.8	0.8	2	0.4	2	3	2.8	3.4	5.8	4.8	7.4
20.8	8	2	32	32	24	28	16	54	18	30	36
34.8	4	8.4	30	7.4	17.6	24.8	20	17.6	20	16	32
36	36	7	36	14	28	24	28	32	40	22.4	28
30.4	10.4	4	36	10.4	52	44	18	32	26	18.4	28
40	20	5.8	30	13	36	40	11	34	36	24	36
20	9.6	8.8	36	5.8	19.2	16	12	22	28	24	24
12.8	12	2.6	32	2.8	3	21.6	17.6	32	24	20	25.6
24	6.8	32	32	4	3.6	13	10	18	48	28	9.4
14	10	7.2	4	2.6	0.8	2	8	1.1	0.4	0.1	5.6
16	12	10	12	2.5	0.5	46	14	0.1	1.6	0.4	4.8
8.4	6.6	2.3	10	12.5	2.5	5	12.5	0.15	6	1.2	7.6
14	1	8.8	2.5	10	0.2	4.4	13.5	0.15	5.2	1.2	12
8.2	1	16	5	10	0.1	5.6	5.6	0.15	1.4	0.3	3
4.5	1.6	8	4	4.2	0.4	10	12	0.1	1.1	0.6	8
1.5	0.8	2	10	8	0.5	4	9	0.15	0.1	0.3	3
5	0.6	1.5	14	12	8	9	8	0.15	2	0.3	7.5
11.2	5.3	4	2.7	2.2	4.8	13.2	6.5	8	16	14	1
20	14	14	6	3.5	8	10	14	14	3.3	16	1.7
8	2	12	8	2.5	12.5	20	16	16	4.5	11	6
9	10	10	12	6	12	16	14	8.8	14	10	10.5
14	12	9	5.6	8	8	16	8.8	10	8	12	10
6.5	12	10	2.7	6	14	10	15.2	8	12.5	10	14
16	12	8	8	14	7.2	9	3.8	6	6	9	4
6	12	16	10	7	10	3.4	6	3.9	3.1	10	20
11	2	6.8	4.6	4.5	14	10	8	3.6	5	8	6.6
1.6	0.5	6	4.4	11.4	6.6	8	13.2	2.1	12.5	8	12.8
7.6	0.2	7	5.6	14	14	5.6	10	5.7	12.5	10	13.5
12	0.5	1	1.2	12	4.5	12	10	6	8	10.5	5.7
7	0.5	4.8	5	13	8	14	12.5	7.5	22.2	10.5	14.8
13	0.4	4.2	4	16	10	11.2	12.8	12	13.5	12.5	15
16	0.1	1.5	0.5	7.8	8	5	7.2	8	12	5	10
18	0.5	1.6	0.4	5	1.4	10	13.4	9	10	10.8	9
